training_seed,split,model,interface,protocol,candidate_seed,samples,metric,value,source
44,validation,M1-96,N,k5,42,5675,NDCG@5,0.8291123175309154,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,M1-96,N,k5,42,5675,MRR,0.7716211453744493,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,M1-96,N,k20_seed42,42,5675,HR@1,0.19418502202643173,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,M1-96,N,k20_seed42,42,5675,NDCG@5,0.24504960260626638,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,M1-96,N,k20_seed42,42,5675,MRR,0.32281803130547954,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,M1-96,N,k50_seed42,42,5675,HR@1,0.06907488986784141,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,M1-96,N,k50_seed42,42,5675,NDCG@5,0.09067716232606007,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,M1-96,N,k50_seed42,42,5675,MRR,0.14182564583881627,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,N96,N,k20_seed42,42,5675,HR@1,0.2452863436123348,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,N96,N,k20_seed42,42,5675,NDCG@5,0.3509868580977709,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,N96,N,k20_seed42,42,5675,MRR,0.38995501935436605,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,N96,N,k50_seed42,42,5675,HR@1,0.07947136563876651,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,N96,N,k50_seed42,42,5675,NDCG@5,0.10060689012540935,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,N96,N,k50_seed42,42,5675,MRR,0.15983718538588396,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,test,Y96,Y,binary,,11544,AUC,0.7802665958143491,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,Y96,Y,binary,,11544,F1,0.7769764406896078,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,Y96,Y,binary,,11544,Accuracy,0.7187283437283437,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,N96,N,k5,42,5675,HR@1,0.6105726872246696,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,N96,N,k5,42,5675,NDCG@5,0.8220727346840286,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,N96,N,k5,42,5675,MRR,0.7624375917767996,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,M1-96,Y,binary,,11544,AUC,0.7857056225275105,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,M1-96,Y,binary,,11544,F1,0.7875151678576244,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,M1-96,Y,binary,,11544,Accuracy,0.726957726957727,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,M1-96,N,k5,42,5675,HR@1,0.6005286343612335,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,M1-96,N,k5,42,5675,NDCG@5,0.817267664294507,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,M1-96,N,k5,42,5675,MRR,0.75605873715125,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,M1-96,N,k20_seed42,42,5675,HR@1,0.19083700440528634,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,M1-96,N,k20_seed42,42,5675,NDCG@5,0.2387944363405969,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,M1-96,N,k20_seed42,42,5675,MRR,0.31715601347412326,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,M1-96,N,k50_seed42,42,5675,HR@1,0.05920704845814978,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,M1-96,N,k50_seed42,42,5675,NDCG@5,0.0835008598929818,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,M1-96,N,k50_seed42,42,5675,MRR,0.13465463156286145,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,N96,N,k20_seed42,42,5675,HR@1,0.2373568281938326,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,N96,N,k20_seed42,42,5675,NDCG@5,0.33996778810027045,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,N96,N,k20_seed42,42,5675,MRR,0.3805081922725025,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,N96,N,k50_seed42,42,5675,HR@1,0.07048458149779736,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,N96,N,k50_seed42,42,5675,NDCG@5,0.09359592061004439,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
44,test,N96,N,k50_seed42,42,5675,MRR,0.1533174452972071,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/test_summary.txt
